Item Group Name,Parent Item Group,Is Group
اكسسوارات,All Item Groups,1
التجميل,All Item Groups,1
حقائب,All Item Groups,1
احذية,All Item Groups,1
لانجري,All Item Groups,1
هدايا,All Item Groups,1
اكسسوارات نسائية فاخرة,All Item Groups,1
لصق حناء,All Item Groups,1
نقش تاتو,All Item Groups,1
اساور استيل,اكسسوارات نسائية فاخرة,0
اساور زركون,اكسسوارات نسائية فاخرة,0
اساور كرستال,اكسسوارات نسائية فاخرة,0
اساور مطلي,اكسسوارات نسائية فاخرة,0
اساور مع خاتم زركون,اكسسوارات نسائية فاخرة,0
بروشات شعر كرستال,اكسسوارات نسائية فاخرة,0
حزامات مطلي,اكسسوارات نسائية فاخرة,0
خواتم استيل,اكسسوارات نسائية فاخرة,0
خواتم زركون,اكسسوارات نسائية فاخرة,0
خواتم كرستال,اكسسوارات نسائية فاخرة,0
خواتم مطلي,اكسسوارات نسائية فاخرة,0
دبابيس شعر كرستال,اكسسوارات نسائية فاخرة,0
ربطات شعر كرستال,اكسسوارات نسائية فاخرة,0
ساعات اطفال,اكسسوارات نسائية فاخرة,0
ساعات رجال ماركة,اكسسوارات نسائية فاخرة,0
ساعات رجالي 2,اكسسوارات نسائية فاخرة,0
ساعات نسائي عرائسي,اكسسوارات نسائية فاخرة,0
ساعات نسائي ماركه,اكسسوارات نسائية فاخرة,0
سلوس استيل,اكسسوارات نسائية فاخرة,0
سلوس زركون,اكسسوارات نسائية فاخرة,0
سلوس كرستال,اكسسوارات نسائية فاخرة,0
سلوس مطلي,اكسسوارات نسائية فاخرة,0
طقم مطلي,اكسسوارات نسائية فاخرة,0
طقوم استيل,اكسسوارات نسائية فاخرة,0
طقوم زركون,اكسسوارات نسائية فاخرة,0
طقوم ساعات نسائي رجال,اكسسوارات نسائية فاخرة,0
طقوم كرستال,اكسسوارات نسائية فاخرة,0
قطب استيل,اكسسوارات نسائية فاخرة,0
قطب زركون,اكسسوارات نسائية فاخرة,0
قطب كرستال,اكسسوارات نسائية فاخرة,0
لثام مطلي,اكسسوارات نسائية فاخرة,0
هامات رأس مطلي,اكسسوارات نسائية فاخرة,0
وزغ مطلي,اكسسوارات نسائية فاخرة,0
اساور1,اكسسوارات,0
اساور2,اكسسوارات,0
اطواق بالحبة,اكسسوارات,0
امصار,اكسسوارات,0
خلاخل1,اكسسوارات,0
خلاخل2,اكسسوارات,0
خواتم 1,اكسسوارات,0
خواتم 2,اكسسوارات,0
ربطات شعر,اكسسوارات,0
سلوس1,اكسسوارات,0
سلوس2,اكسسوارات,0
شباصات1,اكسسوارات,0
شباصات2,اكسسوارات,0
صناديق قباضات اطفال وبناتي,اكسسوارات,0
طقم اطواق,اكسسوارات,0
طقم ربطات شعر,اكسسوارات,0
طقم شباصات,اكسسوارات,0
طقم قباطات شعر اطفال,اكسسوارات,0
طقم كلبسات ومساكات,اكسسوارات,0
فيونكات 1,اكسسوارات,0
فيونكات 2,اكسسوارات,0
قباضات نسائي,اكسسوارات,0
قباضات+اطفال2,اكسسوارات,0
قباضات1,اكسسوارات,0
قطب 1,اكسسوارات,0
قطب 2,اكسسوارات,0
كلبسات1,اكسسوارات,0
كلبسات2,اكسسوارات,0
علب ربالات شعر,اكسسوارات,0
1 مرايا,التجميل,0
2 مرايا,التجميل,0
العناية بالأقدام والاظافر,التجميل,0
امشاط شعر,التجميل,0
طقم امشاط,التجميل,0
غطاء عيون,التجميل,0
فصوص شعر,التجميل,0
مبارد,التجميل,0
لصق حناء صغير,لصق حناء,0
لصق حناء كبير,لصق حناء,0
لصق حناء وسط,لصق حناء,0
نقش تاتو صغير,نقش تاتو,0
نقش تاتو كبير,نقش تاتو,0
نقش تاتو وسط,نقش تاتو,0
شنط اطفال,حقائب,0
شنط بناتي,حقائب,0
شنط نسائي,حقائب,0
شنط يد نسائي,حقائب,0
بوتي,احذية,0
صنادل ربل رجالي,احذية,0
صنادل ربل نسائي,احذية,0
صنادل ريش نسائي,احذية,0
صنادل نسائي,احذية,0
حبال مائي,لانجري,0
علب هدايا,هدايا,0
